NIH Spending Categorization,Year,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs by IC,FY Indirect Costs by IC,FY Total Cost by IC,FY Total Cost (Sub Projects)
Alcoholism;Clinical Research;Infectious Diseases;Lung;Pneumonia;Pneumonia & Influenza;Substance Abuse,2012,Academic Medical Centers;Accounting;adduct;Affect;Age;alcohol research;alcohol use disorder;Alcohols;Alveolar;Alveolar Macrophages;Animal Model;animal model development;antimicrobial;Apoptosis;Bacterial Pneumonia;base;Basic Science;Burn injury;care burden;Cause of Death;cell motility;Cell physiology;Cessation of life;cigarette smoke;Cirrhosis;Clinical;Clinical Investigator;Clinical Trials;Collaborations;Colorado;Commit;Communicable Diseases;Complement;cost;Country;cytokine;Data;Defect;Dependence;Disease;Ecology;Ensure;Environment;Epithelial Cells;Functional disorder;Health;Healthcare;Healthcare Systems;Homeostasis;Hospitalization;Host Defense;Human;human subject;Incidence;Individual;Infection;Influenza;injured;innate immune function;innovation;Institution;Intervention;Investigation;Lead;Liver diseases;Louisiana;Lung;Lung diseases;Mediator of activation protein;Medical;microbial;microbicide;microbiome;Minnesota;Modeling;Modification;Monoclonal Antibody R24;Mortality Vital Statistics;Mus;Nebraska;Operative Surgical Procedures;Outcome;Oxidative Stress;Pancreatitis;Patients;Pneumonia;Postoperative Period;Predisposition;Principal Investigator;Process;Proteins;Protocols documentation;Recording of previous events;Recruitment Activity;Research;Research Design;Research Infrastructure;Research Personnel;Resources;Respiratory System;Respiratory tract structure;response;Risk;Sample Size;Sampling;Scientist;Secure;Severities;Site;Smoke;Smoking;Stratification;T-Lymphocyte;Testing;therapy development;Toll-Like Receptor 2;Traffic accidents;Translations;Trauma;United States National Institutes of Health;Universities;Ventilator;Zinc deficiency;,CLINICAL RESOURCE FOR LUNG AND ALCOHOL INVESTIGATIONS,n/a,NIAAA,8308358,10-Aug-12,PAR-09-128,5R24AA019661-02,5,R24,AA,19661,2,,"JUNG, KATHY ",1-Aug-11,31-Jul-16,Special Emphasis Panel (ZAA1-GG (01)),,7033668,"BURNHAM, ELLEN L",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Aug-12,31-Jul-13,273,Other Research-Related,2012,NIAAA,433452,154571,588023,
Clinical Research;Genetics;HIV/AIDS;Human Genome;Lung,2012,Acquired Immunodeficiency Syndrome;Acute;adaptive immunity;Affect;Antigens;Bacterial Antigens;Bioinformatics;Blood;Chronic;Chronic lung disease;Colorado;Complication;Computational Biology;Data Set;Defect;Deterioration;Development;Disease;Disease Progression;Evolution;experience;Frequencies (time pattern);Funding;Gagging;Genes;Health;Highly Active Antiretroviral Therapy;HIV;HIV Infections;HIV-1;Human;Immune response;Immunologic Deficiency Syndromes;Immunology;Individual;Infection;Inflammatory Response;Instruction;interest;Knowledge;Lead;Learning;Longitudinal Studies;Lung;Lung Inflammation;Metagenomics;Microbe;microbiome;microorganism;Morbidity - disease rate;Mortality Vital Statistics;mutant;Natural Immunity;Pathogenesis;Patients;Pattern;Pneumonia;Population;Prevention strategy;programs;Property;pulmonary arterial hypertension;receptor expression;Recombinant DNA;Respiratory physiology;response;Risk;Role;Staging;T cell response;T-Lymphocyte;Technology;therapeutic target;Translations;treatment strategy;Universities;Variant;Viral;Virus;,ALTERATIONS IN LUNG MICROBIOME IN ACUTE AND CHRONIC HIV INFECTION,n/a,NHLBI,8308466,2-Aug-12,RFA-HL-09-006,5U01HL098996-04,5,U01,HL,98996,4,,"COLOMBINI-HATCH, SANDRA ",23-Sep-09,31-Jul-14,Special Emphasis Panel (ZHL1-CSR-Z (S1)),,1865800,"FONTENOT, ANDREW P.",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Aug-12,31-Jul-13,837,Research Projects,2012,NHLBI,570916,225991,796907,
Aging;Clinical Research;Contraception/Reproduction;Estrogen;Genetics;HIV/AIDS;Human Genome,2012,Age;Antigens;antimicrobial;Bacteria;Bacterial Genes;Bacterial Genome;Blood;CD4 Positive T Lymphocytes;Cells;Cervical;Cervix Uteri;chemokine;Chemokine (C-C Motif) Receptor 5;chemokine receptor;Communities;CXCR4 gene;density;DNA Sequence;Epithelium;Estrogens;Exhibits;Female;Fluorescent in Situ Hybridization;gamma-Chemokines;Gene Expression;Gene Expression Profile;Genes;Genital system;Heterosexuals;HIV-1;HLA-DR Antigens;Homeostasis;Hormonal;Human;Immune;immune function;Infection;Irrigation;Link;Measures;Mediating;Menopause;Messenger RNA;Metagenomics;Methods;Microbe;microbial;Microbial Biofilms;microbial community;microbiome;microorganism antigen;Microscopy;Modification;Mucous body substance;Mucous Membrane;novel;Observational Study;Phylogenetic Analysis;Population;Postmenopause;Predisposition;Premenopause;Prevalence;Receptor Signaling;reproductive;Research Personnel;Risk;Role;rRNA Genes;Sampling;Sequence Analysis;Signal Pathway;Signal Transduction;Specimen;T-Lymphocyte;Taxon;Testing;Tissues;Toll-like receptors;Transcript;transmission process;Woman;,THE CERVICAL MICROBIOME MEDIATES HORMONAL INCREASES IN HIV1 SUSCEPTIBILITY, Both menopause and imbalances in the bacterial communities normally inhabiting the female reproductive tract are associated with increased risk of HIV-1 acquisition. Recent studies indicate that postmenopausal women exhibit elevated abundances of immune cells (certain T-lymphocytes) that are susceptible to HIV-1 infection; however; why this occurs is not known. We hypothesize those changes in cervicovaginal bacteria increase the quantities of these HIV-1 susceptible T-lymphocytes in the cervix; and thereby increase the risk of heterosexual transmission of HIV-1 to females. Through observational studies of well-defined human populations; we will test this hypothesis by using high-throughput DNA sequencing methods; along with advanced microscopy; to comprehensively determine whether menopause results in 1) different kinds of bacteria inhabiting the female reproductive tract; 2) expression of different bacterial genes; and/or 3) modification of cervical gene expression.         ,NIAID,8317886,10-Apr-12,PA-11-262,1R03AI102836-01,1,R03,AI,102836,1,,"TURPIN, JIM A.",15-Apr-12,31-Mar-14,Special Emphasis Panel (ZHD1-DSR-W (50)),,9866279,"FRANK, DANIEL ",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,15-Apr-12,31-Mar-14,855,Research Projects,2012,NIAID,50000,26916,76916,
Chronic Obstructive Pulmonary Disease;Genetics;Human Genome;Lung;Smoking and Health;Tobacco,2012,acquired immunity;Acute;Address;Affect;airway inflammation;Alveolar;Alveolar Cell;alveolar destruction;Alveolus;American;Anatomy;Antibiotics;Apoptosis;Apoptotic;Bacteria;Bacterial Infections;biological adaptation to stress;Breathing;CD8B1 gene;Cell Culture Techniques;Cell Death;Cells;Cellular Stress;Cellular Structures;Ceramides;Cessation of life;Chronic Obstructive Airway Disease;Cigarette;cigarette smoke;Clinical;cytokine;cytotoxic;Disease;Disease Outcome;Disease Progression;DNA;Epithelial Cells;Exposure to;Family;Funding Mechanisms;Genes;Glucosylceramides;Human;Human Microbiome;Immune;Immune system;Immunity;Infection;Inflammation;Inflammatory;injured;Injury;insight;Interferons;Killings;laser capture microdissection;Lead;Ligands;Link;Liver;Lung;Lung Inflammation;lung injury;Maintenance;Mediator of activation protein;Methods;microbial community;microbiome;Molecular;mouse model;mTOR protein;Mus;Natural Immunity;Natural Killer Cells;novel;Oxidative Stress;Pathogenesis;Pathway interactions;Patients;pollutant;Population;Primary biliary cirrhosis;Production;programs;Pulmonary Emphysema;response;Risk;Role;Sampling;segregation;Severity of illness;Shortness of Breath;Signal Transduction;Smoker;Soil;Sphingomonadaceae;Sphingomonas;Staging;Stress;Structure of parenchyma of lung;T-Cell Activation;T-Lymphocyte;Testing;Tissues;Tobacco;Translating;Tube;Virus;Water;Work;,MICROBIOME IN COPD," Bacterial infection of lung airways underlies some of the main complications of COPD; which is a disease caused by cigarette smoke and characterized by progressive difficulty in breathing. Patients with severe COPD are at risk of getting worse and being infected by viruses and bacteria. These are called exacerbations; which cause patients to be hospitalized and received antibiotics and drugs that suppress the immune system. These patients are then at a significantly increased risk of death and marked clinical worsening of the shortness of breath. The proposed study is a novel way to find out whether there are bacteria present in small airway tubes in patients with COPD. We propose to use the lung tissues collected by the LTRC and translate a novel and quite cool"" method to perform a large scale screen of the bacteria that may be present in normal and diseased lungs. Our preliminary studies have revealed that the lungs of patients with COPD and also smokers with mild or no disease have bacteria called Novosphingobium. This bacteria is usually found in soil and water; however; it has been linked to an auto-immune destruction of the liver called primary biliary cirrhosis. Furthermore; Novosphingobium can digest substances present in the tobacco. Our proposal seeks to quantify these bacteria in lung samples in which the DNA has been selectively extracted from particular lung regions. Moreover; we also propose to initiate studies to show how the infection by Novosphingobium can accelerate damage of lung cells by inflammatory cells.      """,NHLBI,8258180,18-Nov-11,PA-10-069,1R21HL110721-01A1,1,R21,HL,110721,1,A1,"PUNTURIERI, ANTONELLO ",1-Dec-11,30-Nov-13,Special Emphasis Panel (ZRG1-CVRS-G (03)),,1865228,"TUDER, RUBIN M. ","HARRIS, JONATHAN KIRK",6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Dec-11,30-Nov-12,837,Research Projects,2012,NHLBI,150000,66250,216250,
Alcoholism;Clinical Research;Infectious Diseases;Lung;Pneumonia;Pneumonia & Influenza;Substance Abuse,2013,Academic Medical Centers;Accounting;adduct;Affect;Age;alcohol research;alcohol use disorder;Alcohols;Alveolar;Alveolar Macrophages;Animal Model;animal model development;antimicrobial;Apoptosis;Bacterial Pneumonia;base;Basic Science;Burn injury;care burden;Cause of Death;cell motility;Cell physiology;Cessation of life;cigarette smoke;Cirrhosis;Clinical;Clinical Investigator;Clinical Trials;Collaborations;Colorado;Commit;Communicable Diseases;Complement;cost;Country;cytokine;Data;Defect;Dependence;Disease;Ecology;Ensure;Environment;Epithelial Cells;Functional disorder;Health;Healthcare;Healthcare Systems;Homeostasis;Hospitalization;Host Defense;Human;human subject;Incidence;Individual;Infection;Influenza;injured;innate immune function;innovation;Institution;Intervention;Investigation;Lead;Liver diseases;Louisiana;Lung;Lung diseases;Mediator of activation protein;Medical;microbial;microbicide;microbiome;Minnesota;Modeling;Modification;Monoclonal Antibody R24;Mortality Vital Statistics;Mus;Nebraska;Operative Surgical Procedures;Outcome;Oxidative Stress;Pancreatitis;Patients;Pneumonia;Postoperative Period;Predisposition;Principal Investigator;Process;Proteins;Protocols documentation;Recording of previous events;Recruitment Activity;Research;Research Design;Research Infrastructure;Research Personnel;Resources;Respiratory System;Respiratory tract structure;response;Risk;Sample Size;Sampling;Scientist;Secure;Severities;Site;Smoke;Smoking;Stratification;T-Lymphocyte;Testing;therapy development;Toll-Like Receptor 2;Traffic accidents;Translations;Trauma;United States National Institutes of Health;Universities;Ventilator;Zinc deficiency;,CLINICAL RESOURCE FOR LUNG AND ALCOHOL INVESTIGATIONS,n/a,NIAAA,8528429,6-Aug-13,PAR-09-128,5R24AA019661-03,5,R24,AA,19661,3,,"JUNG, KATHY ",1-Aug-11,31-Jul-16,Special Emphasis Panel (ZAA1-GG (01)),,7033668,"BURNHAM, ELLEN L",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Aug-13,31-Jul-14,273,Other Research-Related,2013,NIAAA,401970,127992,529962,
Clinical Research;HIV/AIDS;Infectious Diseases;Lung,2013,Acquired Immunodeficiency Syndrome;Acute;adaptive immunity;Affect;Antigens;Bacterial Antigens;Bioinformatics;Blood;Chronic;Chronic lung disease;Colorado;Complication;Computational Biology;Data Set;Defect;Deterioration;Development;Disease;Disease Progression;Evolution;experience;Frequencies (time pattern);Funding;Gagging;Genes;Health;Highly Active Antiretroviral Therapy;HIV;HIV Infections;HIV-1;Human;Immune response;Immunologic Deficiency Syndromes;Immunology;Individual;Infection;Inflammatory Response;Instruction;interest;Knowledge;Lead;Learning;Longitudinal Studies;Lung;Lung Inflammation;Metagenomics;Microbe;microbiome;microorganism;Morbidity - disease rate;Mortality Vital Statistics;mutant;Natural Immunity;Pathogenesis;Patients;Pattern;Pneumonia;Population;Prevention strategy;programs;Property;pulmonary arterial hypertension;pyrosequencing;receptor expression;Recombinant DNA;Respiratory physiology;response;Risk;Role;Staging;T cell response;T-Lymphocyte;Technology;therapeutic target;Translations;treatment strategy;Universities;Variant;Viral;Virus;,ALTERATIONS IN LUNG MICROBIOME IN ACUTE AND CHRONIC HIV INFECTION,n/a,NHLBI,8521356,10-Sep-13,RFA-HL-09-006,5U01HL098996-05,5,U01,HL,98996,5,,"COLOMBINI-HATCH, SANDRA ",23-Sep-09,31-Jul-15,Special Emphasis Panel (ZHL1-CSR-Z (S1)),,1865800,"FONTENOT, ANDREW P.",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Aug-13,31-Jul-15,837,Research Projects,2013,NHLBI,860037,388648,691701,
Alcoholism;Chronic Liver Disease and Cirrhosis;Digestive Diseases;Liver Disease;Substance Abuse,2013,Accounting;Adrenal Cortex Hormones;Affect;alcohol abuse therapy;Alcohol consumption;Alcohol-Induced Disorders;Alcoholic Liver Diseases;Alcohols;Animals;Anti-inflammatory;Anti-Inflammatory Agents;Attenuated;Bacteria;Bifidobacterium;Biochemical Pathway;cell growth;Cessation of life;chronic liver disease;Data;Development;Diet;Dose;effective therapy;Endotoxemia;Endotoxins;Enteral;Epithelial Cells;Equilibrium;Ethanol Metabolism;Extravasation;Female;Functional disorder;Gene Expression;Gene Expression Profile;gut microbiota;health economics;Heavy Drinking;Hepatic;Human;Inflammation;Inflammatory;Inflammatory Response;Injury;innovation;Intestines;Lactobacillus;Lactoferrin;Lead;Liquid substance;Liver;Liver Cirrhosis;Liver diseases;liver transplantation;Malignant neoplasm of liver;Mediating;Messenger RNA;Microbe;microbial host;microbiome;migration;Modeling;Molecular Profiling;Mucous Membrane;Mus;next generation sequencing;novel therapeutics;Oral Administration;Pathology;Permeability;Pharmaceutical Preparations;Phenotype;Play;Portal vein structure;Prevalence;prevent;protective effect;public health relevance;regenerative;Risk Factors;Role;Severities;Therapeutic;Tissues;,EFFECT OF LACTOFERRIN ON ALCOHOL-INDUCED DYSBIOSIS AND GUT BARRIER DYSFUNCTION,PUBLIC HEALTH RELEVANCE: Excessive alcohol consumption is a major risk factor for chronic liver disease; which affects more than 10 million people and accounts for 48% of liver cirrhosis-associated deaths. It is known that alcohol causes intestinal bacterial overgrowth and hyper-permeability; resulting in endotoxemia that plays a critical role in alcohol-induced injury t the liver and other tissues. Ours and other studies demonstrate that lactoferrin suppresses (alcohol-induced) gut hyper-permeability; likely through its effects on the gut microbiota. In the current project; we will examine whether lactoferrin can maintain the balance of gut microbiota and preserve the integrity of the intestines despite alcohol consumption. If successfully completed; the proposed studies will demonstrate the potential of lactoferrin to prevent the transfer of endotoxin to the portal vein; reduce endotoxemia; and attenuate alcohol-induced liver disease.            ,NIAAA,8568645,20-Sep-13,PA-11-261,1R21AA022387-01,1,R21,AA,22387,1,,"GAO, PETER ",20-Sep-13,31-Aug-15,Health Services Research Review Subcommittee (AA) ,,7732158,"JU, CYNTHIA ",Not Applicable,6,PHARMACOLOGY,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF PHARMACY,80045-2570,UNITED STATES, ,20-Sep-13,31-Aug-14,273,Research Projects,2013,NIAAA,143750,78524,222274,
Bioengineering;Biotechnology;Genetics;Human Genome;Nutrition;Obesity,2013,"Acetates;Affect;Alcohols;analog;Archaea;Area;Automobile Driving;Bacteria;base;Biochemical Pathway;Bioinformatics;Biological;Biology;Bioreactors;Calories;Carbon Dioxide;Cells;Collection;Colorado;combat;Communities;Complex;Computational Technique;computer science;computerized tools;Data;database design;design;Diet;Disease;Doctor of Philosophy;Environment;Environmental sludge;experience;Feces;Fermentation;Flow Cytometry;Fluorescent in Situ Hybridization;Food;Formates;Generations;Genes;Genome;genome sequencing;Genomics;Gnotobiotic;Goals;Grant;Growth;gut microbiota;Harvest;Health;High Performance Computing;Human;human data;Human Genome;Human Microbiome;human subject;Hydrogen;Individual;Individual Differences;insight;interest;Knowledge;Laboratories;Lead;Link;Longitudinal Studies;Malnutrition;member;Mentors;Metabolic;Metabolism;metagenomic sequencing;Metagenomics;Methanobacteria;Methanobrevibacter;Microbe;microbial;microbial community;microbiome;microorganism;microorganism interaction;Microscopic;Modeling;mouse model;Mus;Nature;network models;Nutrient;nutrition;Nutritional Requirements;Obesity;Organism;Pattern;Plants;Polysaccharides;Population;Positioning Attribute;Postdoctoral Fellow;preference;Prevalence;prevent;Process;Property;Reaction;reconstruction;Recording of previous events;Relative (related person);Research;research study;Ribosomal RNA;RNA, Ribosomal, 16S;Role;Sampling;Science;Sequence Analysis;Shotgun Sequencing;Shotguns;skills;Soil;Structure;Students;Surveys;Taxon;Techniques;Testing;Training;trait;Universities;Volatile Fatty Acids;Washington;Work;",THE ROLE OF SYNTROPHIC BACTERIA IN METHANOGENIC METABOLISM IN THE HUMAN GUT,PUBLIC HEALTH RELEVANCE: The efficiency at which the 10-100 trillion microorganisms that inhabit the human gut harvest nutrients/energy from otherwise undigestible components of our diet (e.g. complex plant polysaccharides); is likely to be highly impacted by syntrophic (cooperative) metabolism; where one microbe produces compounds that the other requires for growth or removes compounds that inhibit the progress of metabolic reactions. Methanogenic archaea are syntrophic with fermenting bacteria in many anoxic environments; driving fermentation by removing products such as hydrogen or formate. To further our understanding of syntrophic metabolism in the human gut; this work will identify bacterial species (phylotypes) that co-occur (are found only in the same individuals) as the methanogenic archeaon Methanobrevibacter smithii; and determine whether the association was driven by syntrophy or shared environmental preferences; providing insight into how to promote or discourage the activity of this important microbe in the gut.,NIDDK,8655670,17-Jun-13,PAR-09-060,7K01DK090285-04,7,K01,DK,90285,4,,"PODSKALNY, JUDITH M,",1-Feb-11,30-Nov-15,"Diabetes, Endocrinology and Metabolic Diseases B Subcommittee (DDK) ",,10210715,"LOZUPONE, CATHERINE ",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Mar-13,30-Nov-13,847,Other Research-Related,2013,NIDDK,109727,7818,117545,
Chronic Obstructive Pulmonary Disease;Lung;Smoking and Health;Tobacco,2013,acquired immunity;Acute;Address;Affect;airway inflammation;Alveolar;Alveolar Cell;alveolar destruction;Alveolus;American;Anatomy;Antibiotics;Apoptosis;Apoptotic;Bacteria;Bacterial Infections;biological adaptation to stress;Breathing;CD8B1 gene;Cell Culture Techniques;Cell Death;Cells;Cellular Stress;Cellular Structures;Ceramides;Cessation of life;Chronic Obstructive Airway Disease;Cigarette;cigarette smoke;Clinical;cytokine;cytotoxic;Disease;Disease Outcome;Disease Progression;DNA;Epithelial Cells;Exposure to;Family;Funding Mechanisms;Genes;Glucosylceramides;Human;Human Microbiome;Immune;Immune system;Immunity;Infection;Inflammation;Inflammatory;injured;Injury;insight;Interferons;Killings;laser capture microdissection;Lead;Ligands;Link;Liver;Lung;Lung Inflammation;lung injury;Maintenance;Mediator of activation protein;Methods;microbial community;microbiome;Molecular;mouse model;mTOR protein;Mus;Natural Immunity;Natural Killer Cells;novel;Oxidative Stress;Pathogenesis;Pathway interactions;Patients;pollutant;Population;Primary biliary cirrhosis;Production;programs;Pulmonary Emphysema;response;Risk;Role;Sampling;segregation;Severity of illness;Shortness of Breath;Signal Transduction;Smoker;Soil;Sphingomonadaceae;Sphingomonas;Staging;Stress;Structure of parenchyma of lung;T-Cell Activation;T-Lymphocyte;Testing;Tissues;Tobacco;Translating;Tube;Virus;Water;Work;,MICROBIOME IN COPD," Bacterial infection of lung airways underlies some of the main complications of COPD; which is a disease caused by cigarette smoke and characterized by progressive difficulty in breathing. Patients with severe COPD are at risk of getting worse and being infected by viruses and bacteria. These are called exacerbations; which cause patients to be hospitalized and received antibiotics and drugs that suppress the immune system. These patients are then at a significantly increased risk of death and marked clinical worsening of the shortness of breath. The proposed study is a novel way to find out whether there are bacteria present in small airway tubes in patients with COPD. We propose to use the lung tissues collected by the LTRC and translate a novel and quite cool"" method to perform a large scale screen of the bacteria that may be present in normal and diseased lungs. Our preliminary studies have revealed that the lungs of patients with COPD and also smokers with mild or no disease have bacteria called Novosphingobium. This bacteria is usually found in soil and water; however; it has been linked to an auto-immune destruction of the liver called primary biliary cirrhosis. Furthermore; Novosphingobium can digest substances present in the tobacco. Our proposal seeks to quantify these bacteria in lung samples in which the DNA has been selectively extracted from particular lung regions. Moreover; we also propose to initiate studies to show how the infection by Novosphingobium can accelerate damage of lung cells by inflammatory cells.      """,NHLBI,8386978,19-Nov-12,PA-10-069,5R21HL110721-02,5,R21,HL,110721,2,,"PUNTURIERI, ANTONELLO ",1-Dec-11,30-Nov-13,Special Emphasis Panel (ZRG1-CVRS-G (03)),,1865228,"TUDER, RUBIN M. ","HARRIS, JONATHAN KIRK",6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Dec-12,30-Nov-13,837,Research Projects,2013,NHLBI,119000,50456,169456,
Alcoholism;Clinical Research;Infectious Diseases;Lung;Pneumonia;Pneumonia & Influenza;Substance Abuse,2014,Academic Medical Centers;Accounting;adduct;Affect;Age;alcohol research;alcohol use disorder;Alcohols;Alveolar;Alveolar Macrophages;Animal Model;animal model development;antimicrobial;Apoptosis;Bacterial Pneumonia;base;Basic Science;Burn injury;care burden;Cause of Death;cell motility;Cell physiology;Cessation of life;cigarette smoke;Cirrhosis;Clinical;Clinical Investigator;Clinical Trials;Collaborations;Colorado;Commit;Communicable Diseases;Complement;cost;Country;cytokine;Data;Defect;Dependence;Disease;Ecology;Ensure;Environment;Epithelial Cells;Functional disorder;Health;Healthcare;Healthcare Systems;Homeostasis;Hospitalization;Host Defense;Human;human subject;Incidence;Individual;Infection;Influenza;injured;innate immune function;innovation;Institution;Intervention;Investigation;Lead;Liver diseases;Louisiana;Lung;Lung diseases;Mediator of activation protein;Medical;microbial;microbicide;microbiome;Minnesota;Modeling;Modification;Monoclonal Antibody R24;Mortality Vital Statistics;Mus;Nebraska;Operative Surgical Procedures;Outcome;Oxidative Stress;Pancreatitis;Patients;Pneumonia;Postoperative Period;Predisposition;Principal Investigator;Process;Proteins;Protocols documentation;Recording of previous events;Recruitment Activity;Research;Research Design;Research Infrastructure;Research Personnel;Resources;Respiratory System;Respiratory tract structure;response;Risk;Sample Size;Sampling;Scientist;Secure;Severities;Site;Smoke;Smoking;Stratification;T-Lymphocyte;Testing;therapy development;Toll-Like Receptor 2;Traffic accidents;Translations;Trauma;United States National Institutes of Health;Universities;Ventilator;Zinc deficiency;,CLINICAL RESOURCE FOR LUNG AND ALCOHOL INVESTIGATIONS,n/a,NIAAA,8715656,18-Jul-14,PAR-09-128,5R24AA019661-04,5,R24,AA,19661,4,,"JUNG, KATHY ",1-Aug-11,31-Jul-16,Special Emphasis Panel (ZAA1-GG (01)),,7033668,"BURNHAM, ELLEN L",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,41096314,US,39.708143,-104.724958,UNIVERSITY OF COLORADO DENVER,AURORA,CO,SCHOOLS OF MEDICINE,80045-2570,UNITED STATES, ,1-Aug-14,31-Jul-15,273,Other Research-Related,2014,NIAAA,361295,132991,494286,
